frequency,var_x,std_x,var_y,std_y,mean_rt,std_rt,median_rt,spatial_variance
200,0.05232471426694365,0.22874596011065124,0.010586655005529418,0.10289147197668724,4180.924242424242,1920.6291862552673,3596.0,0.2508213891845611
1000,0.04546174053931822,0.21321758965741597,0.028600831993894425,0.16911780507650406,4294.333333333333,3275.983518007441,3422.0,0.2721443964758647
4000,0.04780330617719324,0.21863967201126433,0.010792602789490645,0.10388745251227717,3916.0151515151515,2679.3389224406387,3441.5,0.24206591863929108
