freq1,freq2,x_t_stat,x_p_value,x_significant,x_cohens_d,y_t_stat,y_p_value,y_significant,y_cohens_d
200,1000,-2.36383102500337,0.019568133658330152,True,-0.41149016390794113,16.00879813252328,1.5457108373743533e-32,True,2.786774053577606
200,4000,-4.844374802474207,3.551610887919019e-06,True,-0.8432974101855567,41.04681230369937,2.76587607754078e-76,True,7.145332870281485
1000,4000,-2.598998417801281,0.010429735009196226,True,-0.45242755240341453,14.271852669389474,2.1807894987439954e-28,True,2.4844106588323887
