participant_id,frequency,n_trials,std_x,std_y,spatial_std
P_20251211_080247,200,3,0.23020245568670447,0.1066752234910494,0.25371790222815277
P_20251211_080247,4000,3,0.228367576132095,0.014074853225438961,0.22880089886572966
P_20251211_080247,1000,3,0.2006986701835444,0.08663366336633664,0.21859859981645552
P_20251211_104347,200,3,0.005716339298907191,0.06716698676215943,0.06740979636290508
P_20251211_104347,1000,3,0.0037810030486434055,0.04646174331782538,0.04661533627665193
P_20251211_104347,4000,3,0.005716339298907223,0.02479369505167779,0.02544413192262261
P_20251211_172427,4000,3,0.24270520528050893,0.05124994467798153,0.24805719804059334
P_20251211_172427,200,3,0.2789709973206926,0.12348600106800836,0.3050796777988826
P_20251211_172427,1000,3,0.054053804707011134,0.1417239422310779,0.15168219936703714
P_20251211_192845,200,3,0.0,1.3597399555105182e-16,1.3597399555105182e-16
P_20251211_192845,1000,3,0.07552547674451665,0.12805269895541843,0.14866603965685488
P_20251211_192845,4000,3,0.0028581696494535953,0.0062292363327316035,0.00685365005191257
P_20251212_220245,1000,3,0.2595333264640489,0.2399865901531409,0.35348424434311954
P_20251212_220245,4000,3,0.1889049653071155,0.11295845315388546,0.22010156304897302
P_20251212_220245,200,3,0.08685278119698953,0.05832329196591133,0.10461841132130173
P_20251213_094736,200,3,0.03473204450879572,0.01925360194964056,0.039711662062877316
P_20251213_094736,1000,3,0.036682201002419784,0.0410556203885173,0.05505586104919225
P_20251213_094736,4000,3,0.06730777942337247,0.03045943214373908,0.07387905100516931
P_20251213_095146,4000,3,0.08771892465601747,0.0665581069492198,0.11011172209838448
P_20251213_095146,200,3,0.1273928151783531,0.06950830081098287,0.1451217876154236
P_20251213_095146,1000,3,0.09159097358938159,0.04293326887002263,0.10115419921543767
P_20251213_095411,200,3,0.004293326887002237,0.011448871698672867,0.012227400334140076
P_20251213_095411,1000,3,0.06512725157223413,0.06211738301108176,0.0900007120499527
P_20251213_095411,4000,3,0.060021330911487744,0.0037863584133716764,0.06014064078824589
P_20251213_095625,200,3,0.0,0.0,0.0
P_20251213_095625,4000,3,0.0508597682338224,0.037015682416062554,0.0629037103001479
P_20251213_095625,1000,3,0.0688718864890527,0.043572509029680906,0.08149785452208287
P_20251213_095816,4000,3,1.3597399555105182e-16,0.0,1.3597399555105182e-16
P_20251213_095816,200,3,0.0,1.3597399555105182e-16,1.3597399555105182e-16
P_20251213_095816,1000,3,0.0,6.798699777552591e-17,6.798699777552591e-17
P_20251213_100006,4000,3,0.30613357557706083,0.005724435849336375,0.306187091924838
P_20251213_100006,200,3,0.24378049601797666,0.06941984906680257,0.2534719820477766
P_20251213_100006,1000,3,0.2160974533124472,0.03577772405835221,0.21903916286116712
P_20251213_100320,1000,3,0.0,0.0,0.0
P_20251213_100320,4000,3,0.012476118688019231,0.006238059344009661,0.013948724740883267
P_20251213_100320,200,3,0.3062573179394946,0.02862217924668169,0.3075918951083105
P_20251213_100504,200,3,0.22897743397345396,0.011448871698672867,0.2292634771005625
P_20251213_100504,4000,3,0.11591982594906107,0.06583101226736798,0.13330839517527382
P_20251213_100504,1000,3,0.16281341177498296,0.15422149703349772,0.22425984304164512
P_20251213_100656,1000,3,0.03679369731122735,0.021466634435011345,0.042598034647112926
P_20251213_100656,4000,3,0.010017762736338608,0.018604416510343145,0.021130070608777033
P_20251213_100656,200,3,0.012879980661006776,0.06869323019203624,0.0698902981539211
P_20251213_100918,1000,3,0.07315472909249687,0.09095145018037169,0.11672095218301316
P_20251213_100918,4000,3,0.030992679334194542,0.03235066046496234,0.04480079692183485
P_20251213_100918,200,3,0.057884775220703295,0.01271997468958808,0.05926588359634156
P_20251213_101226,200,3,0.0037863584133716777,0.00743626030178951,0.00834472751565209
P_20251213_101226,1000,3,0.006238059344009675,0.08330659096562383,0.08353981974300127
P_20251213_101226,4000,3,0.011177318309256905,0.005724435849336375,0.012557930178959315
P_20251213_102633,1000,3,0.11040084939721274,0.19298995576753264,0.22233639057693694
P_20251213_102633,4000,3,0.005716339298907191,0.007145424123633941,0.009150607678555595
P_20251213_102633,200,3,0.22734579214267392,0.04646174331782529,0.2320448292832904
P_20251215_074300,1000,3,0.18347799223310962,0.17517498592104688,0.25367390351853697
P_20251215_074300,4000,3,0.2497561914350789,0.05500003288436966,0.2557404128749258
P_20251215_074300,200,3,0.07933301900942742,0.06879750274719708,0.10500868673305443
P_20251215_081927,4000,3,1.3597399555105182e-16,3.3993498887762956e-17,1.4015878649856313e-16
P_20251215_081927,1000,3,0.13498020662675306,0.13031738246415514,0.18762269679681573
P_20251215_081927,200,3,0.0,0.0,0.0
P_20251216_201636,1000,3,0.056197757638488735,0.3496314307300113,0.35411908352686816
P_20251216_201636,4000,3,0.17161345320866514,0.10023803398131104,0.19874315278429383
P_20251216_201636,200,3,0.18312430676318756,0.034335807518097665,0.18631548353644115
P_20251228_164843,1000,3,0.057973162469039996,0.052367638502377384,0.07812334560793838
P_20251228_164843,4000,3,0.11664196510154737,0.05860561568396268,0.13053722155939634
P_20251228_164843,200,3,0.0829673001213561,0.03953074238819277,0.09190349548950158
P_20251228_165020,1000,3,0.008705095972859747,0.025759961322013615,0.027191070284347696
P_20251228_165020,200,3,0.060935671810018216,0.021178478623215036,0.06451111575327328
P_20251228_165020,4000,3,0.17255993550554713,0.011359075240115127,0.1729333973875179
