task,trial_number,frequency,click_x_px,click_y_px,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics,gender,age,hearing,hobbies
spatial_mapping,2,200,59.5999755859375,345.59999084472656,0.1478173952914829,0.8571428084860058,6299,html-keyboard-response,3,2.1.0,44484,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,3,4000,77.5999755859375,24.59999084472656,0.1924602510827609,0.0610118802082158,7708,html-keyboard-response,5,2.1.0,54363,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,4,1000,264.5999755859375,111.59999084472656,0.6562499195810373,0.2767856831993925,7917,html-keyboard-response,7,2.1.0,64462,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,5,1000,229.5999755859375,127.59999084472656,0.5694443666535524,0.3164682216805285,6052,html-keyboard-response,9,2.1.0,72689,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,6,200,283.5999755859375,277.59999084472656,0.7033729340273862,0.6884920199411779,7128,html-keyboard-response,11,2.1.0,81943,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,7,4000,272.5999755859375,65.59999084472656,0.6760911888216052,0.1626983850661267,8363,html-keyboard-response,13,2.1.0,92431,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,8,200,153.5999755859375,374.59999084472656,0.3809523088681567,0.9290674094830648,5088,html-keyboard-response,15,2.1.0,99661,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,9,1000,269.5999755859375,217.59999084472656,0.6686507128563922,0.5396825006369181,7253,html-keyboard-response,17,2.1.0,109037,P_20251211_172427,"{""gender"":""Sieviete"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Lasīšana"",""Māksla"",""Mūzika""]}",Sieviete,24,Nē,"['Lasīšana', 'Māksla', 'Mūzika']"
spatial_mapping,1,200,206.0,342.5,0.5099009900990099,0.8477722772277227,7747,html-keyboard-response,1,2.1.0,52138,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
spatial_mapping,2,200,206.0,342.5,0.5099009900990099,0.8477722772277227,3374,html-keyboard-response,3,2.1.0,57521,P_20251211_192845,"{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}",Vīrietis,28,Nē,None
