frequency,mean_x,std_x,count,mean_y,std_y,mean_rt,median_rt
200,0.437699274087559,0.22874596011065124,66,0.8609989258847586,0.10289147197668724,4180.924242424242,3596.0
1000,0.5286872096335147,0.21321758965741597,66,0.470912832827752,0.16911780507650406,4294.333333333333,3422.0
4000,0.6263869711006985,0.21863967201126433,66,0.12223823337046169,0.10388745251227717,3916.0151515151515,3441.5
