participant_id,frequency,avg_x,avg_y
P_20251211_080247,200,0.24834983498349836,0.862481951320132
P_20251211_080247,1000,0.6443894389438943,0.517597462871287
P_20251211_080247,4000,0.5173267326732673,0.08360406353135309
P_20251211_104347,200,0.481023102310231,0.6860561056105611
P_20251211_104347,1000,0.4785478547854785,0.4311056105610562
P_20251211_104347,4000,0.47359735973597356,0.2553630363036303
P_20251211_172427,200,0.41071421272900865,0.8249007459700829
P_20251211_172427,1000,0.6314483330303272,0.37764546850561304
P_20251211_172427,4000,0.44626315345169293,0.10813489465456476
P_20251211_192845,200,0.5099009900990099,0.8477722772277229
P_20251211_192845,1000,0.5544554455445544,0.38902640264026395
P_20251211_192845,4000,0.9661716171617162,0.020214521452145164
P_20251212_220245,200,0.42398320281871804,0.9191468127069985
P_20251212_220245,1000,0.33717764989123317,0.6934523750955378
P_20251212_220245,4000,0.5760996003297392,0.2304894261489517
P_20251213_094736,200,0.8717170460997105,0.8597216662274182
P_20251213_094736,1000,0.10908723959397093,0.8027103372470324
P_20251213_094736,4000,0.8361882468800497,0.1218793940609769
P_20251213_095146,200,0.3338275509369408,0.7506565151345064
P_20251213_095146,1000,0.24624492960475397,0.5259162037915366
P_20251213_095146,4000,0.1941911074922279,0.42428731300041417
P_20251213_095411,200,0.08429970525467279,0.9654818127417569
P_20251213_095411,1000,0.7180343331960618,0.16649695587171362
P_20251213_095411,4000,0.6329304652978048,0.011987991823421834
P_20251213_095625,200,0.9394696399604584,0.9423467806917452
P_20251213_095625,1000,0.8378407491693363,0.44411734047185264
P_20251213_095625,4000,0.5230390630602498,0.07478307881631047
P_20251213_095816,200,0.5099009900990099,0.8477722772277229
P_20251213_095816,1000,0.453633966910215,0.44411734047185264
P_20251213_095816,4000,0.758520639283582,0.1243581474949067
P_20251213_100006,200,0.6015329218013606,0.7903165700773833
P_20251213_100006,1000,0.5147765516138171,0.23507580087710508
P_20251213_100006,4000,0.4734639943816536,0.0169454986912815
P_20251213_100320,200,0.36026758756552546,0.9729180730435464
P_20251213_100320,1000,0.5255178164941797,0.4465960939057825
P_20251213_100320,4000,0.9609521697211837,0.024381758993070903
P_20251213_100504,200,0.35117882497444936,0.9588718035846107
P_20251213_100504,1000,0.5660041225817,0.38462725805753717
P_20251213_100504,4000,0.7609993927175119,0.1755857184627895
P_20251213_100656,200,0.4759427478155834,0.8506329036363423
P_20251213_100656,1000,0.1330485227886258,0.5655762587344136
P_20251213_100656,4000,0.5147765516138172,0.09874436201096537
P_20251213_100918,200,0.24954993418332708,0.896076716591722
P_20251213_100918,1000,0.5775716386067057,0.5044336740308115
P_20251213_100918,4000,0.6800267805424713,0.11609563604847402
P_20251213_101226,200,0.48007400353879975,0.959698054729254
P_20251213_101226,1000,0.4866840126959459,0.5231538982541989
P_20251213_101226,4000,0.4866840126959459,0.013640494112708401
P_20251213_102633,200,0.3094059405940594,0.9055280528052805
P_20251213_102633,1000,0.5775577557755776,0.3972772277227723
P_20251213_102633,4000,0.7838283828382838,0.14892739273927388
P_20251215_074300,200,0.36026758756552546,0.8043628395363189
P_20251215_074300,1000,0.6792005293978282,0.5126961854772443
P_20251215_074300,4000,0.5114715470352441,0.08635059484131628
P_20251215_081927,200,0.5131240493245306,0.5903637930737118
P_20251215_081927,1000,0.6651542599388925,0.4416385870379229
P_20251215_081927,4000,0.7882656804907399,0.21111451768245018
P_20251216_201636,200,0.5984030148677147,0.8684471202444034
P_20251216_201636,1000,0.8899778924858878,0.5735682780073276
P_20251216_201636,4000,0.42246689891114003,0.19030838221460153
