frequency,trial_order,mean_x,std_x,count,mean_y,std_y,mean_rt,std_rt
200,1,0.445173613598271,0.26962126195504005,40,0.8276702358907858,0.12340772091580918,5269.025,2302.7912882646774
200,2,0.44992972369269585,0.23365920684854607,40,0.7907109634926014,0.13531496352001968,3711.55,1146.025684367837
200,3,0.4419762634631158,0.2225176064886259,40,0.8150867777670427,0.13859580332838667,3255.7,1212.8206834715554
1000,1,0.5149023957159831,0.21626306112944996,40,0.4958979934491978,0.21406330272898252,4970.8,3939.839429241391
1000,2,0.5243127659215949,0.20004875291760593,40,0.48965558999068187,0.20560146713275296,3609.225,1382.745568443914
1000,3,0.5562312877342188,0.22236536808105417,40,0.4641564461267544,0.17802400081700423,3263.15,1123.3012827353452
4000,1,0.6152330595077756,0.23271595771786016,40,0.16477297434685254,0.14248650149250666,4868.975,3797.2621343946867
4000,2,0.5748654508538871,0.24621038918188007,40,0.12871536390292548,0.09851416538199817,3489.55,1411.9243451439802
4000,3,0.5582330090071466,0.25123438141710125,40,0.13265529095404893,0.0907091212996681,3098.875,1322.717970743652
