"task","trial_number","frequency","click_x_px","click_y_px","click_x_norm","click_y_norm","rt_ms","trial_type","trial_index","plugin_version","time_elapsed","participant_id","demographics"
"spatial_mapping","1","200","35.0089111328125","392.1696319580078","0.08677845868860266","0.9720918218989031","5231","html-keyboard-response","1","2.1.0","56235","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","2","1000","320.0089111328125","43.16963195800781","0.7932231873585995","0.1070068734573981","3351","html-keyboard-response","3","2.1.0","61620","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","3","1000","275.0089111328125","93.16963195800781","0.6816792828317579","0.23094454515388876","2815","html-keyboard-response","5","2.1.0","66448","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","4","4000","245.0089111328125","6.1696319580078125","0.6073166798138635","0.015292996401994986","4546","html-keyboard-response","7","2.1.0","73004","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","5","1000","274.0089111328125","65.16963195800781","0.6792005293978282","0.161539449003854","3870","html-keyboard-response","9","2.1.0","78903","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","6","200","35.0089111328125","392.1696319580078","0.08677845868860266","0.9720918218989031","3071","html-keyboard-response","11","2.1.0","83990","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","7","4000","238.0089111328125","5.1696319580078125","0.5899654057763548","0.012814242968065171","3867","html-keyboard-response","13","2.1.0","89879","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","8","200","32.0089111328125","384.1696319580078","0.07934219838681322","0.9522617944274645","2749","html-keyboard-response","15","2.1.0","94644","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
"spatial_mapping","9","4000","283.0089111328125","3.1696319580078125","0.7015093103031964","0.007856736100205545","3440","html-keyboard-response","17","2.1.0","100107","P_20251213_095411","{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
