"task","trial_number","frequency","click_x_px","click_y_px","click_x_norm","click_y_norm","rt_ms","trial_type","trial_index","plugin_version","time_elapsed","participant_id","demographics"
"spatial_mapping","1","1000","15.61669921875","293.6000061035156","0.03873189173102328","0.7281745962665317","2645","html-keyboard-response","1","2.1.0","32335","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","2","4000","319.61669921875","139.60000610351562","0.7927001228726063","0.3462301633855982","2364","html-keyboard-response","3","2.1.0","36737","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","3","4000","179.61669921875","48.600006103515625","0.4454779111626667","0.12053572577413753","1959","html-keyboard-response","5","2.1.0","40707","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","4","1000","186.61669921875","368.6000061035156","0.46283902174816366","0.9141864953968564","1679","html-keyboard-response","7","2.1.0","44403","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","5","200","130.61669921875","381.6000061035156","0.3239501370641879","0.9464285579127794","2887","html-keyboard-response","9","2.1.0","49299","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","6","4000","197.61669921875","90.60000610351562","0.49012076695394463","0.2247023892871194","4386","html-keyboard-response","11","2.1.0","55691","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","7","200","188.61669921875","386.6000061035156","0.4677993390583057","0.9588293511881344","2302","html-keyboard-response","13","2.1.0","60011","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","8","200","193.61669921875","343.6000061035156","0.48020013233366066","0.8521825290200815","4179","html-keyboard-response","15","2.1.0","66200","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
"spatial_mapping","9","1000","205.61669921875","176.60000610351562","0.5099620361945126","0.4379960336232251","2367","html-keyboard-response","17","2.1.0","70571","P_20251212_220245","{""gender"":""Vīrietis"",""age"":24,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles""]}"
