"task","trial_number","frequency","click_x_px","click_y_px","click_x_norm","click_y_norm","rt_ms","trial_type","trial_index","plugin_version","time_elapsed","participant_id","demographics"
"spatial_mapping","1","200","35.0089111328125","392.1696319580078","0.08677845868860266","0.9720918218989031","3632","html-keyboard-response","1","2.1.0","39570","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","2","4000","361.0089111328125","40.16963195800781","0.8948520781497219","0.09957061315560865","2739","html-keyboard-response","3","2.1.0","44343","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","3","200","195.0089111328125","384.1696319580078","0.48337900811737283","0.9522617944274645","3527","html-keyboard-response","5","2.1.0","49879","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","4","1000","195.0089111328125","200.1696319580078","0.48337900811737283","0.4961711625843788","3383","html-keyboard-response","7","2.1.0","55275","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","5","4000","280.0089111328125","86.16963195800781","0.694073050001407","0.21359327111638007","3831","html-keyboard-response","9","2.1.0","61134","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","6","4000","280.0089111328125","86.16963195800781","0.694073050001407","0.21359327111638007","2091","html-keyboard-response","11","2.1.0","65246","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","7","1000","186.0089111328125","181.1696319580078","0.4610702272120045","0.44907484733971237","2547","html-keyboard-response","13","2.1.0","69803","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","8","200","195.0089111328125","384.1696319580078","0.48337900811737283","0.9522617944274645","3736","html-keyboard-response","15","2.1.0","75559","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
"spatial_mapping","9","1000","304.0089111328125","84.16963195800781","0.7535631324157225","0.20863576424852046","2693","html-keyboard-response","17","2.1.0","80290","P_20251213_100504","{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
