"task","trial_number","frequency","click_x_px","click_y_px","click_x_norm","click_y_norm","rt_ms","trial_type","trial_index","plugin_version","time_elapsed","participant_id","demographics"
"spatial_mapping","1","200","206","342.5","0.5099009900990099","0.8477722772277227","7747","html-keyboard-response","1","2.1.0","52138","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","2","200","206","342.5","0.5099009900990099","0.8477722772277227","3374","html-keyboard-response","3","2.1.0","57521","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","3","1000","258","97.5","0.6386138613861386","0.24133663366336633","3791","html-keyboard-response","5","2.1.0","63322","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","4","4000","391","5.5","0.9678217821782178","0.013613861386138614","2049","html-keyboard-response","7","2.1.0","67377","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","5","4000","391","8.5","0.9678217821782178","0.02103960396039604","1822","html-keyboard-response","9","2.1.0","71204","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","6","4000","389","10.5","0.9628712871287128","0.02599009900990099","1095","html-keyboard-response","11","2.1.0","74303","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","7","200","206","342.5","0.5099009900990099","0.8477722772277227","4577","html-keyboard-response","13","2.1.0","80887","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","8","1000","215","189.5","0.5321782178217822","0.46905940594059403","2777","html-keyboard-response","15","2.1.0","85671","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
"spatial_mapping","9","1000","199","184.5","0.49257425742574257","0.4566831683168317","1561","html-keyboard-response","17","2.1.0","89237","P_20251211_192845","{""gender"":""Vīrietis"",""age"":28,""hearing"":""Nē"",""hobbies"":null}"
