"task","trial_number","frequency","click_x_px","click_y_px","click_x_norm","click_y_norm","rt_ms","trial_type","trial_index","plugin_version","time_elapsed","participant_id","demographics"
"spatial_mapping","1","200","192.0089111328125","384.1696319580078","0.47594274781558343","0.9522617944274645","9511","html-keyboard-response","1","2.1.0","253883","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","2","1000","196.0089111328125","200.1696319580078","0.48585776155130267","0.4961711625843788","6699","html-keyboard-response","3","2.1.0","262634","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","3","4000","196.0089111328125","8.169631958007812","0.48585776155130267","0.020250503269854614","3724","html-keyboard-response","5","2.1.0","268402","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","4","1000","194.0089111328125","249.109375","0.48090025468344305","0.6166073638613861","5156","html-keyboard-response","7","2.1.0","275589","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","5","4000","192.0089111328125","4.1696319580078125","0.47594274781558343","0.010335489534135357","3490","html-keyboard-response","9","2.1.0","281112","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","6","200","194.0089111328125","390.1696319580078","0.48090025468344305","0.9671343150310434","3713","html-keyboard-response","11","2.1.0","286843","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","7","4000","201.0089111328125","4.1696319580078125","0.49825152872095174","0.010335489534135357","3905","html-keyboard-response","13","2.1.0","292767","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","8","200","195.0089111328125","387.1696319580078","0.48337900811737283","0.959698054729254","2508","html-keyboard-response","15","2.1.0","297294","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
"spatial_mapping","9","1000","199.0089111328125","184.5","0.4932940218530921","0.4566831683168317","4092","html-keyboard-response","17","2.1.0","303404","P_20251213_101226","{""gender"":""Sieviete"",""age"":30,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports"",""Māksla"",""Lasīšana""]}"
