"task","trial_number","frequency","click_x_px","click_y_px","click_x_norm","click_y_norm","rt_ms","trial_type","trial_index","plugin_version","time_elapsed","participant_id","demographics"
"spatial_mapping","1","1000","384.82220458984375","393.4666748046875","0.9535792113997669","0.974999979204019","27537","html-keyboard-response","1","2.1.0","51382","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","2","4000","92.82220458984375","45.4666748046875","0.23001095986005138","0.11266521367038551","19068","html-keyboard-response","3","2.1.0","72482","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","3","200","326.82220458984375","334.4666748046875","0.8098567504774946","0.8287995448175697","5448","html-keyboard-response","5","2.1.0","79964","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","4","4000","192.82220458984375","62.4666748046875","0.47780830627776216","0.15479076256139634","8697","html-keyboard-response","7","2.1.0","90707","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","5","200","198.82220458984375","358.4666748046875","0.4926761470628248","0.8882709079578203","3856","html-keyboard-response","9","2.1.0","96607","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","6","1000","341.82220458984375","135.4666748046875","0.8470263524401512","0.3356828254463252","4397","html-keyboard-response","11","2.1.0","103037","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","7","1000","350.82220458984375","165.4666748046875","0.8693281136177452","0.41002202937163845","3165","html-keyboard-response","13","2.1.0","108233","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","8","4000","225.82220458984375","122.4666748046875","0.5595814305956067","0.3034691704120228","3020","html-keyboard-response","15","2.1.0","113280","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
"spatial_mapping","9","200","198.82220458984375","358.4666748046875","0.4926761470628248","0.8882709079578203","3560","html-keyboard-response","17","2.1.0","118877","P_20251216_201636","{""gender"":""Vīrietis"",""age"":26,""hearing"":""Nē"",""hobbies"":[""Sports"",""Videospēles"",""Mūzika""]}"
