task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,4000,0.7439293261395384,0.2333402317880794,4010,html-keyboard-response,1,2.1.0,124787,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,2,4000,0.5055187301130484,0.266783940397351,4467,html-keyboard-response,3,2.1.0,131266,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,3,200,0.8349889287885451,0.6750620860927152,5338,html-keyboard-response,5,2.1.0,138626,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,4,1000,0.4873068095832471,0.4171150662251656,5138,html-keyboard-response,7,2.1.0,145778,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,5,1000,0.5071743592521213,0.3310223509933774,3095,html-keyboard-response,9,2.1.0,150878,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,6,200,0.520419392364704,0.6389693708609272,5615,html-keyboard-response,11,2.1.0,158504,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,7,4000,0.2290286638878828,0.3210885761589404,4579,html-keyboard-response,13,2.1.0,165101,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,8,200,0.5137968758084127,0.5445985099337748,3917,html-keyboard-response,15,2.1.0,171029,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
spatial_mapping,9,1000,0.510485617530267,0.4071812913907284,4598,html-keyboard-response,17,2.1.0,177645,P_20260327_112540,"{""gender"":""Sieviete"",""age"":29,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Māksla"",""Lasīšana""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""Nē""}"
