task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,200,0.0867784586886026,0.9720918218989032,3632,html-keyboard-response,1,2.1.0,39570,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,2,4000,0.8948520781497219,0.0995706131556086,2739,html-keyboard-response,3,2.1.0,44343,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,3,200,0.4833790081173728,0.9522617944274644,3527,html-keyboard-response,5,2.1.0,49879,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,4,1000,0.4833790081173728,0.4961711625843788,3383,html-keyboard-response,7,2.1.0,55275,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,5,4000,0.694073050001407,0.21359327111638,3831,html-keyboard-response,9,2.1.0,61134,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,6,4000,0.694073050001407,0.21359327111638,2091,html-keyboard-response,11,2.1.0,65246,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,7,1000,0.4610702272120045,0.4490748473397123,2547,html-keyboard-response,13,2.1.0,69803,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,8,200,0.4833790081173728,0.9522617944274644,3736,html-keyboard-response,15,2.1.0,75559,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,9,1000,0.7535631324157225,0.2086357642485204,2693,html-keyboard-response,17,2.1.0,80290,P_20251213_100504,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
