task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,4000,0.7585206392835822,0.1243581474949067,3697,html-keyboard-response,1,2.1.0,35229,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,2,200,0.5099009900990099,0.8477722772277227,4169,html-keyboard-response,3,2.1.0,41421,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,3,1000,0.453633966910215,0.4441173404718527,3118,html-keyboard-response,5,2.1.0,46555,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,4,4000,0.7585206392835822,0.1243581474949067,2669,html-keyboard-response,7,2.1.0,51239,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,5,4000,0.7585206392835822,0.1243581474949067,3582,html-keyboard-response,9,2.1.0,56824,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,6,1000,0.453633966910215,0.4441173404718527,2817,html-keyboard-response,11,2.1.0,61662,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,7,200,0.5099009900990099,0.8477722772277227,2890,html-keyboard-response,13,2.1.0,66563,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,8,200,0.5099009900990099,0.8477722772277227,4722,html-keyboard-response,15,2.1.0,73305,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
spatial_mapping,9,1000,0.453633966910215,0.4441173404718527,2872,html-keyboard-response,17,2.1.0,78200,P_20251213_095816,"{""gender"":""Sieviete"",""age"":34,""hearing"":""Nē"",""hobbies"":[""Lasīšana""]}"
