task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,4000,0.8592991102610202,0.5407284869263503,3732,html-keyboard-response,1,2.1.0,116726,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,2,200,0.2417494413868481,0.9198675597740325,6099,html-keyboard-response,3,2.1.0,124828,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,3,4000,0.8692328850954574,0.0357615995091318,2668,html-keyboard-response,5,2.1.0,129499,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,4,200,0.1854580506583713,0.7592715332839662,4204,html-keyboard-response,7,2.1.0,135705,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,5,1000,0.4652593751616825,0.4711920630852907,2607,html-keyboard-response,9,2.1.0,140315,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,6,200,0.0828090440358547,0.5870861028203901,2544,html-keyboard-response,11,2.1.0,144861,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,7,1000,0.4785044082742653,0.479470208780655,2293,html-keyboard-response,13,2.1.0,149157,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,8,1000,0.4785044082742653,0.479470208780655,1337,html-keyboard-response,15,2.1.0,152497,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
spatial_mapping,9,4000,0.8261865274795633,0.1632450432177411,3029,html-keyboard-response,17,2.1.0,157529,P_20260327_105324,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Lasīšana""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Klavieres un kokli""}"
