task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,200,0.0867784586886026,0.9720918218989032,5231,html-keyboard-response,1,2.1.0,56235,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,2,1000,0.7932231873585995,0.1070068734573981,3351,html-keyboard-response,3,2.1.0,61620,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,3,1000,0.6816792828317579,0.2309445451538887,2815,html-keyboard-response,5,2.1.0,66448,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,4,4000,0.6073166798138635,0.0152929964019949,4546,html-keyboard-response,7,2.1.0,73004,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,5,1000,0.6792005293978282,0.161539449003854,3870,html-keyboard-response,9,2.1.0,78903,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,6,200,0.0867784586886026,0.9720918218989032,3071,html-keyboard-response,11,2.1.0,83990,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,7,4000,0.5899654057763548,0.0128142429680651,3867,html-keyboard-response,13,2.1.0,89879,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,8,200,0.0793421983868132,0.9522617944274644,2749,html-keyboard-response,15,2.1.0,94644,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
spatial_mapping,9,4000,0.7015093103031964,0.0078567361002055,3440,html-keyboard-response,17,2.1.0,100107,P_20251213_095411,"{""gender"":""Vīrietis"",""age"":35,""hearing"":""Nē"",""hobbies"":[""Mūzika"",""Sports""]}"
