task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,4000,0.5099613619166494,0.1086092816283371,18661,html-keyboard-response,1,2.1.0,29442,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,2,200,0.0977097062875103,0.8884106061316484,7325,html-keyboard-response,3,2.1.0,38770,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,3,4000,0.8361203023140004,0.1450331226879397,4196,html-keyboard-response,5,2.1.0,44968,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,4,4000,0.8361203023140004,0.1450331226879397,3224,html-keyboard-response,7,2.1.0,50194,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,5,200,0.0546633486716163,0.9298013346084696,3008,html-keyboard-response,9,2.1.0,55206,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,6,1000,0.5960540771484375,0.9049668975223768,5619,html-keyboard-response,11,2.1.0,62827,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,7,1000,0.6573123552941329,0.9231788180521782,3912,html-keyboard-response,13,2.1.0,68743,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,8,200,0.122544143373603,0.8801324604362841,4257,html-keyboard-response,15,2.1.0,75002,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
spatial_mapping,9,1000,0.8278421566186361,0.9298013346084696,4050,html-keyboard-response,17,2.1.0,81056,P_20260327_104824,"{""gender"":""Sieviete"",""age"":35,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Lasīšana"",""Mūzika""],""music_education"":[""Nē""],""music_notes"":[""Jā""],""music_instrument"":""ja""}"
