task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,4000,0.825055153954108,0.1697640728476821,3063,html-keyboard-response,1,2.1.0,8946,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,2,1000,0.3598233658746378,0.6787044701986755,2187,html-keyboard-response,3,2.1.0,13142,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,3,200,0.9078366109077504,0.6157905629139073,1931,html-keyboard-response,5,2.1.0,17078,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,4,1000,0.5137968758084127,0.4916183774834437,2020,html-keyboard-response,7,2.1.0,21104,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,5,4000,0.7786975380600683,0.1770488410596026,2265,html-keyboard-response,9,2.1.0,25383,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,6,4000,0.47737303474881,0.0694329470198675,2272,html-keyboard-response,11,2.1.0,29664,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,7,200,0.7737306506428497,0.781353476821192,2703,html-keyboard-response,13,2.1.0,34377,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,8,1000,0.815121379119671,0.5909561258278145,2425,html-keyboard-response,15,2.1.0,38811,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
spatial_mapping,9,200,0.4028697234905318,0.7363203642384106,1717,html-keyboard-response,17,2.1.0,42537,P_20260327_114835,"{""gender"":""Vīrietis"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Mūzika"",""Sports"",""Videospēles""],""music_education"":[""Jā""],""music_notes"":[""Jā""],""music_instrument"":""Jā, klavieres un vijoli""}"
