task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,4000,0.869757140709075,0.1230753311258278,5633,html-keyboard-response,1,2.1.0,894385,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,2,200,0.3614789950137106,0.7346647350993378,3901,html-keyboard-response,3,2.1.0,900305,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,3,4000,0.6992273393845716,0.183671357615894,2835,html-keyboard-response,5,2.1.0,905147,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,4,200,0.3664458824309292,0.7565190397350994,2737,html-keyboard-response,7,2.1.0,909899,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,5,1000,0.3879690612388762,0.4287044701986754,4187,html-keyboard-response,9,2.1.0,916095,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,6,4000,0.782008796338214,0.1058567880794702,3741,html-keyboard-response,11,2.1.0,921857,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,7,1000,0.4161147566031146,0.4833402317880794,2453,html-keyboard-response,13,2.1.0,926322,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,8,200,0.096578332762055,0.933671357615894,2857,html-keyboard-response,15,2.1.0,931185,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,9,1000,0.3813465446825848,0.5214197019867549,2816,html-keyboard-response,17,2.1.0,936008,P_20260327_112955,"{""gender"":""Sieviete"",""age"":22,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""other""],""hobbies-Comment"":""dejas"",""music_education"":null,""music_notes"":null,""music_instrument"":null}"
