task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,200,0.9442604519673532,0.9717508278145696,9390,html-keyboard-response,1,2.1.0,617874,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,2,4000,0.4839955513051014,0.3965852649006622,3283,html-keyboard-response,3,2.1.0,623171,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,3,200,0.9575054850799358,0.7157905629139073,3190,html-keyboard-response,5,2.1.0,628384,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,4,1000,0.0982339619011279,0.6025455298013245,2848,html-keyboard-response,7,2.1.0,633242,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,5,4000,0.3846578029607305,0.0346647350993377,3630,html-keyboard-response,9,2.1.0,638877,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,6,1000,0.662803498324969,0.3806912251655629,3976,html-keyboard-response,11,2.1.0,644862,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,7,1000,0.662803498324969,0.3806912251655629,2113,html-keyboard-response,13,2.1.0,648984,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,8,200,0.9409491936892074,0.8889693708609272,2939,html-keyboard-response,15,2.1.0,653938,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,9,4000,0.3714127698481477,0.0479097682119205,2101,html-keyboard-response,17,2.1.0,658048,P_20260327_111402,"{""gender"":""Sieviete"",""age"":25,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
