task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,1000,0.5121412466693398,0.4568501655629139,4310,html-keyboard-response,1,2.1.0,35911,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,2,4000,0.9707505181925188,0.0164528145695364,7589,html-keyboard-response,3,2.1.0,45524,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,3,1000,0.4806842930269557,0.4767177152317881,3389,html-keyboard-response,5,2.1.0,50936,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,4,200,0.0187637632256312,0.9601614238410596,3770,html-keyboard-response,7,2.1.0,56721,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,5,4000,0.5171081340865583,0.1949296357615894,3155,html-keyboard-response,9,2.1.0,61894,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,6,1000,0.520419392364704,0.4800289735099338,2840,html-keyboard-response,11,2.1.0,66744,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,7,200,0.3184326373978166,0.8389693708609272,4279,html-keyboard-response,13,2.1.0,73028,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,8,4000,0.5386313128945054,0.2965852649006622,2351,html-keyboard-response,15,2.1.0,77389,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
spatial_mapping,9,200,0.5005518426958299,0.8601614238410596,2890,html-keyboard-response,17,2.1.0,82284,P_20260327_114616,"{""gender"":""Vīrietis"",""age"":34,""hearing"":""Nē"",""handedness"":""Labrocis"",""hobbies"":[""Sports"",""Lasīšana""],""music_education"":null,""music_notes"":null,""music_instrument"":null}"
