task,trial_number,frequency,click_x_norm,click_y_norm,rt_ms,trial_type,trial_index,plugin_version,time_elapsed,participant_id,demographics
spatial_mapping,1,1000,0.4660277340798641,0.548224984696905,3179,html-keyboard-response,1,2.1.0,12727,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,2,4000,0.6742430225299685,0.1590606955699241,2722,html-keyboard-response,3,2.1.0,17471,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,3,200,0.2875574868369175,0.865505424239921,2866,html-keyboard-response,5,2.1.0,22340,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,4,200,0.1660985685743567,0.9299530135220964,2625,html-keyboard-response,7,2.1.0,26989,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,5,4000,0.8775008041122132,0.0425592841752229,2418,html-keyboard-response,9,2.1.0,31422,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,6,200,0.3247387883458648,0.9373892738238856,2505,html-keyboard-response,11,2.1.0,35954,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,7,1000,0.5651778714370567,0.5903637930737118,3182,html-keyboard-response,13,2.1.0,41153,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,8,4000,0.6767217759638983,0.1119643803252577,4984,html-keyboard-response,15,2.1.0,48150,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
spatial_mapping,9,1000,0.4635489806459343,0.4862561488486596,3921,html-keyboard-response,17,2.1.0,54083,P_20251228_164843,"{""gender"":""Vīrietis"",""age"":22,""hearing"":""Nē"",""hobbies"":[""Sports""]}"
